YYYY-MM-DD;D01;D02;D03;D04;D05;avg_pax_D01;avg_pax_D02;avg_pax_D03;avg_pax_D04;avg_pax_D05;avg_fare_D01;avg_fare_D02;avg_fare_D03;avg_fare_D04;avg_fare_D05;avg_stddev_D01;avg_stddev_D02;avg_stddev_D03;avg_stddev_D04;avg_stddev_D05
2021-12-27;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.744344;1.408916;1.600958;1.407362;1.594264;13.612330;9.935088;11.130806;8.797573;13.880536;12.364933;8.322019;9.556193;6.934099;13.703645
2021-12-28;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.439553;1.598525;1.765568;1.419477;1.530603;9.683613;11.559185;13.596711;8.730201;13.033209;7.417257;9.392553;11.741892;6.307273;11.903553
2021-12-29;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.602198;1.394430;1.416100;1.701882;1.551651;11.090736;9.633722;9.112623;13.504303;13.321719;8.996680;7.626430;7.326533;12.053029;12.461172
2021-12-30;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.430990;1.530297;1.470885;1.702768;1.559365;9.575340;11.398724;9.010132;14.351247;12.559323;7.209045;9.429932;6.819364;12.685863;11.253101
2021-12-31;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.557775;1.438511;1.464363;1.598253;1.462909;12.823310;9.380057;8.629019;12.170703;10.865853;10.889038;7.939296;6.729074;11.564291;11.460016
2022-01-01;Manhattan,Clinton East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.583333;1.741036;1.563755;1.526164;1.571924;11.957544;12.101494;10.895817;10.600081;10.362796;11.686387;10.461765;10.115412;8.843027;9.163391
2022-01-02;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.496365;1.529823;1.448194;1.476558;1.437232;10.856835;12.028479;10.204263;11.916148;11.527067;10.014561;11.428326;9.864011;11.056649;10.593986
2022-01-03;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.363855;1.369723;1.403381;1.379689;1.406072;9.032101;8.139578;9.185975;9.927585;10.576850;7.146008;6.104620;7.527233;9.235917;9.633415
2022-01-04;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.386894;1.348811;1.369020;1.357391;1.358255;8.857999;8.434623;9.288741;9.806439;10.249088;6.196916;6.071191;7.004573;8.265679;8.268036
2022-01-05;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.366943;1.342961;1.372304;1.358581;1.357613;8.776105;8.567162;9.065479;10.296213;9.464590;5.660253;6.326937;6.828759;8.293188;8.006103
